t,U,V,D,DV
12/31/1958,1.915,0.51,0,0
3/31/1959,1.876,0.541,0,0
6/30/1959,1.842,0.541,0,0
9/30/1959,1.75,0.69,0,0
12/31/1959,1.648,0.771,0,0
3/31/1960,1.45,0.836,0,0
6/30/1960,1.393,0.908,0,0
9/30/1960,1.322,0.968,0,0
12/31/1960,1.26,0.998,0,0
3/31/1961,1.171,0.968,0,0
6/30/1961,1.182,0.964,0,0
9/30/1961,1.221,0.952,0,0
12/31/1961,1.34,0.849,0,0
3/31/1962,1.411,0.748,0,0
6/30/1962,1.6,0.658,0,0
9/30/1962,1.78,0.562,0,0
12/31/1962,1.941,0.51,0,0
3/31/1963,2.178,0.51,0,0
6/30/1963,2.067,0.544,0,0
9/30/1963,1.942,0.568,0,0
12/31/1963,1.764,0.677,0,0
3/31/1964,1.532,0.794,0,0
6/30/1964,1.455,0.838,0,0
9/30/1964,1.409,0.885,0,0
12/31/1964,1.296,0.978,0,0
3/31/1965,1.201,0.997,0,0
6/30/1965,1.192,1.035,0,0
9/30/1965,1.259,1.04,0,0
12/31/1965,1.192,1.086,0,0
3/31/1966,1.089,1.101,0,0
6/30/1966,1.101,1.058,0,0
9/30/1966,1.243,0.987,0,0
12/31/1966,1.623,0.819,1,0.819
3/31/1967,1.821,0.74,1,0.74
6/30/1967,1.99,0.661,1,0.661
9/30/1967,2.114,0.66,1,0.66
12/31/1967,2.115,0.698,1,0.698
3/31/1968,2.15,0.695,1,0.695
6/30/1968,2.141,0.732,1,0.732
9/30/1968,2.167,0.749,1,0.749
12/31/1968,2.107,0.8,1,0.8
3/31/1969,2.104,0.783,1,0.783
6/30/1969,2.056,0.8,1,0.8
9/30/1969,2.17,0.794,1,0.794
12/31/1969,2.161,0.79,1,0.79
3/31/1970,2.225,0.757,1,0.757
6/30/1970,2.241,0.746,1,0.746
9/30/1970,2.366,0.739,1,0.739
12/31/1970,2.324,0.707,1,0.707
3/31/1971,2.516,0.583,1,0.583
6/30/1971,2.909,0.524,1,0.524
